"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"747",13,"Sarawak",8,"Lubok Antu","1308",1991,22234,10826,11408,22097,137,1.19228939696613,646,19106,2326,10,9,8225,12729,1280,6008,9464,920,307,773,10382,825,4,8362,1859,NA,NA,0,22234
"748",13,"Sarawak",8,"Lubok Antu","1308",2000,23255,11584,11671,23112,143,0.448975138646371,686,20264,2157,5,0,7743,14012,1500,3602,10567,1092,251,936,16423,1500,6,2218,2172,NA,NA,0,23255
"749",13,"Sarawak",8,"Lubok Antu","1308",2010,27363,13519,13844,27052,311,1.62671573190071,806,24496,1637,55,58,7146,17669,2548,4811,13746,1408,252,1106,20957,1480,37,3660,123,NA,NA,0,27363
"750",13,"Sarawak",8,"Lubok Antu","1308",2020,24573,12490,12083,23866,707,-1.07543456664556,845,21583,1393,10,35,4653,16609,3311,5575,12445,1489,411,1512,21632,1088,5,118,218,3142.55,7.81944599131279,0,24573
"751",13,"Sarawak",9,"Betong","1309",1970,34741,16825,17916,34741,NA,NA,15950,15728,3022,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752",13,"Sarawak",9,"Betong","1309",1980,36821,17110,19711,36821,NA,0.581477889281461,17890,16089,2823,13,6,16193,18888,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36821
"753",13,"Sarawak",9,"Betong","1309",1991,43993,21034,22959,43971,22,1.77962195764106,23605,17693,2642,17,14,18924,22817,2252,12630,15780,1948,429,23794,9296,1424,15,7469,1963,NA,NA,0,43993
"754",13,"Sarawak",9,"Betong","1309",2000,50392,25346,25046,50288,104,1.35801901966759,29540,18524,2213,7,4,19284,28248,2860,8832,19772,2099,405,29802,12364,1112,3,5119,1992,NA,NA,0,50392
"755",13,"Sarawak",9,"Betong","1309",2010,60728,30338,30390,60216,512,1.86572444394839,35917,21813,2371,34,81,18748,37402,4578,12498,26280,2702,500,36753,17104,1989,10,4099,773,NA,NA,0,60728
"756",13,"Sarawak",9,"Betong","1309",2020,36303,18874,17429,35956,347,-5.14504494230442,14825,19771,1318,8,34,7452,25017,3834,11479,15134,1758,480,15591,19654,907,7,55,89,1546.53,23.4738414385754,0,36303
"757",13,"Sarawak",10,"Saratok","1310",1970,29994,14893,15101,29994,NA,NA,9172,18201,2594,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758",13,"Sarawak",10,"Saratok","1310",1980,33956,16653,17303,33956,NA,1.24068207216233,11351,19499,3091,6,9,13846,18497,1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,33956
"759",13,"Sarawak",10,"Saratok","1310",1991,37939,18794,19145,37914,25,1.10914037877353,14038,20800,2997,33,46,14390,21428,2121,10817,15061,1772,399,14302,9997,1471,21,7978,4123,NA,NA,0,37939
"760",13,"Sarawak",10,"Saratok","1310",2000,42035,21032,21003,41942,93,1.02522997834186,17418,21725,2759,19,21,15357,24072,2606,7376,17105,1797,400,17792,14235,2079,22,5880,2027,NA,NA,0,42035
