ngdp00,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,Pop_StrataUrban,Pop_StrataRural,LandAreaKm2,Pop_Density
1307,2000,62775,31244,31531,62496,279,17522,37066,7880,14,14,21156,37685,3934,10731,27780,2516,592,18530,34240,5167,19,3077,1742,21243,41532,2323.7,27.015
1307,2010,64500,32661,31839,63878,622,16418,38656,8614,70,120,19413,39933,5154,12180,29921,2607,379,17207,30060,7124,56,9896,157,29534,34966,2323.7,27.757
1307,2020,61238,31710,29528,59876,1362,14055,38438,7251,26,106,12774,41153,7311,18989,25444,2987,1044,16407,38675,5381,26,112,637,27692,33546,2323.7,26.354
1308,1991,22234,10826,11408,22097,137,646,19106,2326,10,9,8225,12729,1280,6008,9464,920,307,773,10382,825,4,8362,1859,NA,22234,3142.55,7.075
1308,2000,23255,11584,11671,23112,143,686,20264,2157,5,NA,7743,14012,1500,3602,10567,1092,251,936,16423,1500,6,2218,2172,NA,23255,3142.55,7.4
1308,2010,27363,13519,13844,27052,311,806,24496,1637,55,58,7146,17669,2548,4811,13746,1408,252,1106,20957,1480,37,3660,123,NA,27363,3142.55,8.707
1308,2020,24573,12490,12083,23866,707,845,21583,1393,10,35,4653,16609,3311,5575,12445,1489,411,1512,21632,1088,5,118,218,NA,24573,3142.55,7.819
1309,1991,43993,21034,22959,43971,22,23605,17693,2642,17,14,18924,22817,2252,12630,15780,1948,429,23794,9296,1424,15,7469,1963,NA,43993,2493.89,17.64
1309,2000,50392,25346,25046,50288,104,29540,18524,2213,7,4,19284,28248,2860,8832,19772,2099,405,29802,12364,1112,3,5119,1992,NA,50392,2493.89,20.206
1309,2010,60728,30338,30390,60216,512,35917,21813,2371,34,81,18748,37402,4578,12498,26280,2702,500,36753,17104,1989,10,4099,773,NA,60728,2493.89,24.351
1309,2020,55860,28928,26932,54812,1048,32533,20738,1481,10,50,13592,36983,5285,15609,23262,2663,734,33994,20665,1024,10,63,104,NA,55860,2493.89,22.399
1310,1991,37939,18794,19145,37914,25,14038,20800,2997,33,46,14390,21428,2121,10817,15061,1772,399,14302,9997,1471,21,7978,4123,NA,37939,1686.85,22.491
1310,2000,42035,21032,21003,41942,93,17418,21725,2759,19,21,15357,24072,2606,7376,17105,1797,400,17792,14235,2079,22,5880,2027,NA,42035,1686.85,24.919
1310,2010,45015,22375,22640,44751,264,17941,23977,2748,26,59,13662,28310,3043,8965,20104,1945,339,18459,16359,2261,13,4522,3401,NA,45015,1686.85,26.686
1310,2020,41509,20648,20861,41155,354,15230,23898,1978,6,43,8185,29221,4103,12402,18506,1805,611,16115,22829,1692,4,112,757,NA,41509,1686.85,24.607
1311,1991,49631,24719,24912,49522,109,6436,21663,21367,30,26,18271,29419,1941,15222,19519,1670,256,14521,12861,6827,22,4058,10746,21156,28475,985,50.387
1311,2000,57096,28725,28371,55631,1465,8012,25996,21596,14,13,19658,35025,2413,11264,24150,1755,269,18855,17931,7480,17,5508,7305,25053,32043,985,57.965
1311,2010,56228,28329,27899,54992,1236,9192,23542,21772,116,370,17350,35685,3193,11001,25913,1683,281,14606,17001,13032,46,8715,2828,32493,23735,985,57.084
1311,2020,44039,22121,21918,43546,493,7318,19221,16904,31,72,9832,30147,4060,11058,20376,1829,744,11531,20070,8317,16,157,3948,26018,18021,985,44.71
1312,1991,26957,13038,13919,26888,69,3987,11671,11194,30,6,10249,15293,1415,8616,10462,1046,195,5626,9068,823,34,6480,4877,NA,26957,719,37.492
1312,2000,28942,14180,14762,28880,62,4327,13991,10543,7,12,10368,16958,1616,5257,12188,969,160,6313,11402,2107,8,4281,4831,NA,28942,719,40.253
1312,2010,28713,14067,14646,27676,1037,4450,14310,8731,93,92,9450,17207,2056,5447,12590,1040,186,6290,10841,3297,38,7393,854,10285,18428,719,39.935
1312,2020,20299,10127,10172,19884,415,3119,9279,7407,3,76,4940,13566,1793,4950,9091,869,375,4552,11357,2282,2,211,1895,7662,12637,719,28.232
1313,1991,20059,9878,10181,20045,14,828,18228,968,16,5,8580,10490,989,6666,6601,825,162,18130,721,493,8,364,310,NA,20059,1956.53,10.252
1313,2000,14851,7446,7405,14833,18,740,13623,467,2,1,6065,8102,684,2985,5191,561,49,13564,836,279,NA,26,146,NA,14851,1956.53,7.59
1313,2010,29975,15676,14299,28048,1927,2319,24948,743,14,24,9296,18910,1769,7244,12302,984,149,23200,2253,314,20,3641,547,NA,29975,1956.53,15.32
1313,2020,27423,14747,12676,24605,2818,1620,22551,358,5,71,6762,18626,2035,8135,11084,1030,412,23812,3048,171,5,164,223,NA,27423,1956.53,14.016
1314,1991,28104,13661,14443,28081,23,276,26514,1265,20,6,10938,15813,1353,6763,12269,1299,412,393,11371,292,21,14650,1363,NA,28104,2628.3500000000004,10.693
1314,2000,31723,16185,15538,31702,21,253,30422,1021,4,2,11383,18592,1748,4356,14178,1438,368,436,15654,280,7,14131,1215,NA,31723,2628.3500000000004,12.07
1314,2010,30588,15401,15187,30505,83,370,29341,724,20,50,9351,18803,2434,4614,14834,1427,362,636,23954,167,15,4581,1235,NA,30588,2628.3500000000004,11.638
1314,2020,30795,15773,15022,30718,77,347,29703,611,2,55,6978,20792,3025,7244,14276,1628,669,547,27818,255,NA,360,1815,NA,30795,2628.3500000000004,11.716
1315,1991,170399,83877,86522,168045,2354,17403,52530,97663,287,162,60671,103098,6630,56632,66005,4584,789,30722,76597,16140,207,15785,29795,133479,36920,2229.75,76.421
1315,2000,210118,104814,105304,202946,7172,20401,68268,114041,106,130,69023,132605,8490,46545,89881,3988,681,40179,109747,27115,125,12527,20425,167427,42691,2229.75,94.234
1315,2010,240165,123143,117022,226004,14161,24110,86578,113422,720,1174,66355,160988,12822,56300,110767,5477,1266,49990,119773,40556,254,14181,15411,200546,39619,2229.75,107.709
1315,2020,248064,127822,120242,234837,13227,24559,94913,114477,248,640,51862,176042,20160,66288,110833,9724,4076,50017,149067,34328,212,864,13576,209898,38166,2229.75,111.252
1316,1991,24296,11626,12670,24277,19,1252,21313,1700,3,9,9591,13280,1425,7285,9076,1142,247,8787,6681,424,5,7219,1136,NA,24296,905.29,26.838
1316,2000,23462,11358,12104,23386,76,402,21561,1417,3,3,9049,12767,1646,4067,9207,921,218,7837,7943,540,2,6542,598,NA,23462,905.29,25.917
1316,2010,18523,8917,9606,18273,250,460,16539,1250,11,13,6453,10444,1626,4016,7166,792,96,8644,6134,723,NA,1403,1619,NA,18523,905.29,20.461
1316,2020,21147,10932,10215,18328,2819,684,16498,1130,4,12,4771,14266,2110,5823,9199,1058,296,12363,6745,520,2,23,1494,NA,21147,905.29,23.359
1317,1991,41831,22509,19322,41595,236,1879,35595,4077,29,15,14653,25352,1826,13182,16753,1539,306,9796,13181,1044,13,14614,3095,NA,41831,6331,6.607
